TsAccuracy,F1Score,AUC-ROC,ImagePreprocessingTechnique,EmbeddingNetwork,Model,K-Fold,Loss Function,Embeddings,Sampling ,Calculated Score
90.94%,64.20%,63.60%,HIST,AAL,SVC,NIL,NIL,2048Emb,SMOTE,70.585
88.95%,63.10%,65.03%,GSL,ResNet50,SVC,NIL,NIL,2048Emb,SMOTE,70.5275
91.95%,61.90%,62.95%,HIST,ResNet50,SVC,NIL,NIL,512Emb,SMOTE,69.9375
91.04%,62.80%,62.71%,GSL,AAL,SVC,NIL,NIL,2048Emb,SMOTE,69.815
88.70%,61.92%,62.96%,GSL,AAL,SVC,NIL,NIL,512Emb,SMOTE,69.135
81.31%,44.24%,71.42%,HIST,AAL,LGBM,NIL,NIL,512Emb,SMOTE,67.0975
92.21%,53.45%,61.25%,GSL,ResNet50,SVC,NIL,NIL,512Emb,SMOTE,67.04
81.41%,45.48%,69.60%,GSL,AAL,LGBM,NIL,NIL,512Emb,SMOTE,66.5225
88.30%,60.70%,57.64%,HIST,AAL,SVC,NIL,NIL,512Emb,SMOTE,66.07
78.03%,45.59%,67.32%,HIST,ResNet50,LGBM,NIL,NIL,512Emb,SMOTE,64.565
88.60%,59.95%,53.69%,GSL,MN152,SVC,NIL,NIL,2048Emb,SMOTE,63.9825
79.81%,44.40%,65.84%,GSL,MN152,LGBM,NIL,NIL,512Emb,SMOTE,63.9725
77.59%,45.78%,65.84%,GSL,ResNet50,LGBM,NIL,NIL,512Emb,SMOTE,63.7625
88.02%,60.09%,53.37%,HIST,ResNet50,SVC,NIL,NIL,2048Emb,SMOTE,63.7125
88.30%,59.71%,51.60%,HIST,MN152,SVC,NIL,NIL,2048Emb,SMOTE,62.8025
79.84%,43.07%,64.13%,HIST,MN152,LGBM,NIL,NIL,512Emb,SMOTE,62.7925
88.53%,53.17%,49.79%,GSL,MN152,SVC,NIL,NIL,512Emb,SMOTE,60.32
70.52%,42.16%,64.23%,HIST,AAL,XGBoost,NIL,NIL,512Emb,SMOTE,60.285
70.90%,43.70%,62.89%,GSL,AAL,XGBoost,NIL,NIL,512Emb,SMOTE,60.095
89.50%,54.75%,46.91%,HIST,MN152,SVC,NIL,NIL,512Emb,SMOTE,59.5175
65.20%,39.93%,64.30%,GSL,AAL,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,58.4325
64.96%,39.23%,63.09%,HIST,AAL,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,57.5925
61.00%,45.80%,61.50%,GSL,AAL,ANN,KFolds,WLS,512Emb,NIL,57.45
63.75%,40.52%,62.54%,GSL,ResNet50,XGBoost,NIL,NIL,512Emb,SMOTE,57.3375
64.48%,39.08%,62.60%,HIST,ResNet50,XGBoost,NIL,NIL,512Emb,SMOTE,57.19
61.96%,38.01%,62.86%,GSL,MN152,XGBoost,NIL,NIL,512Emb,SMOTE,56.4225
62.51%,38.06%,61.03%,HIST,MN152,XGBoost,NIL,NIL,512Emb,SMOTE,55.6575
64.20%,36.50%,58.90%,HIST,AAL,ANN,KFolds,WLS,512Emb,NIL,54.625
40.80%,47.50%,63.30%,HIST,ResNet50,ANN,KFolds,WLS,512Emb,NIL,53.725
53.94%,34.53%,60.29%,HIST,ResNet50,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,52.2625
52.86%,34.16%,60.97%,GSL,ResNet50,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,52.24
46.60%,37.80%,60.00%,HIST,ResNet50,ANN,KFolds,NS,512Emb,NIL,51.1
56.00%,32.90%,56.70%,HIST,MN152,ANN,KFolds,WLS,512Emb,NIL,50.575
49.81%,32.57%,59.15%,GSL,MN152,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,50.17
50.20%,34.40%,57.50%,GSL,ResNet50,ANN,KFolds,NS,512Emb,NIL,49.9
27.50%,46.40%,62.80%,HIST,AAL,ANN,KFolds,NS,512Emb,NIL,49.875
50.53%,32.11%,58.10%,HIST,MN152,Ensemble(XBGBagging),NIL,NIL,512Emb,SMOTE,49.71
27.80%,46.30%,61.90%,GSL,AAL,ANN,KFolds,NS,512Emb,NIL,49.475
46.90%,31.60%,57.50%,GSL,MN152,ANN,KFolds,WLS,512Emb,NIL,48.375
48.90%,31.90%,55.90%,GSL,MN152,ANN,KFolds,NS,512Emb,NIL,48.15
47.50%,33.10%,55.40%,HIST,MN152,ANN,KFolds,NS,512Emb,NIL,47.85
27.40%,33.80%,58.00%,GSL,ResNet50,ANN,KFolds,WLS,512Emb,NIL,44.3
